facet_id,facet_name,facet_category,facet_group,facet_tier,facet_priority,facet_type,facet_description,evaluation_prompt,score_definition,confidence_threshold,embedding_id,retrieval_tags,severity_weight,retrieval_keywords,semantic_group,domain_classification
F-0011,Quantity Maxim,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding quantity maxim in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's quantity maxim. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.85,emb_f_0011,"pragmatics,tag_quantity_maxim",0.77,"quantity, maxim, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0012,Quality Maxim,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding quality maxim in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's quality maxim. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.87,emb_f_0012,"pragmatics,tag_quality_maxim",0.82,"quality, maxim, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0013,Turn Taking Etiquette,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding turn taking etiquette in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's turn taking etiquette. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.88,emb_f_0013,"pragmatics,tag_turn_taking_etiquette",0.87,"turn, taking, etiquette, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0014,Politeness Markers,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding politeness markers in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's politeness markers. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.9,emb_f_0014,"pragmatics,tag_politeness_markers",0.92,"politeness, markers, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0015,Hedging Appropriateness,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding hedging appropriateness in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's hedging appropriateness. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.71,emb_f_0015,"pragmatics,tag_hedging_appropriateness",0.98,"hedging, appropriateness, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0016,Ellipsis Resolution,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding ellipsis resolution in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's ellipsis resolution. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.72,emb_f_0016,"pragmatics,tag_ellipsis_resolution",0.62,"ellipsis, resolution, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0017,Deixis Resolution,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding deixis resolution in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's deixis resolution. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.74,emb_f_0017,"pragmatics,tag_deixis_resolution",0.68,"deixis, resolution, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0018,Discourse Markers,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding discourse markers in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's discourse markers. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.75,emb_f_0018,"pragmatics,tag_discourse_markers",0.73,"discourse, markers, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0019,Backchanneling Simulation,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding backchanneling simulation in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's backchanneling simulation. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.76,emb_f_0019,"pragmatics,tag_backchanneling_simulation",0.78,"backchanneling, simulation, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0020,Active Listening Feedback,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding active listening feedback in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's active listening feedback. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.78,emb_f_0020,"pragmatics,tag_active_listening_feedback",0.83,"active, listening, feedback, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0021,Context Retention,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding context retention in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's context retention. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.79,emb_f_0021,"pragmatics,tag_context_retention",0.88,"context, retention, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0022,Query Refinement,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding query refinement in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's query refinement. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.81,emb_f_0022,"pragmatics,tag_query_refinement",0.94,"query, refinement, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0023,Clarification Request,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding clarification request in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's clarification request. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.82,emb_f_0023,"pragmatics,tag_clarification_request",0.99,"clarification, request, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0024,Follow Up Coherence,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding follow up coherence in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's follow up coherence. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.83,emb_f_0024,"pragmatics,tag_follow_up_coherence",0.64,"follow, up, coherence, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0025,Referential Transparency,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding referential transparency in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's referential transparency. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.85,emb_f_0025,"pragmatics,tag_referential_transparency",0.69,"referential, transparency, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0026,Pronoun Resolution,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding pronoun resolution in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's pronoun resolution. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.86,emb_f_0026,"pragmatics,tag_pronoun_resolution",0.74,"pronoun, resolution, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0027,Temporal Deixis,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding temporal deixis in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's temporal deixis. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.88,emb_f_0027,"pragmatics,tag_temporal_deixis",0.79,"temporal, deixis, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0028,Spatial Deixis,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding spatial deixis in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's spatial deixis. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.89,emb_f_0028,"pragmatics,tag_spatial_deixis",0.84,"spatial, deixis, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0029,Lexical Chaining,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding lexical chaining in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's lexical chaining. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.7,emb_f_0029,"pragmatics,tag_lexical_chaining",0.9,"lexical, chaining, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0030,Information Packaging,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding information packaging in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's information packaging. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.72,emb_f_0030,"pragmatics,tag_information_packaging",0.95,"information, packaging, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0031,Focus Structure,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding focus structure in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's focus structure. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.73,emb_f_0031,"pragmatics,tag_focus_structure",1.0,"focus, structure, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0032,Cooperative Principle,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding cooperative principle in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's cooperative principle. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.74,emb_f_0032,"pragmatics,tag_cooperative_principle",0.65,"cooperative, principle, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0033,Conversational Openings,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding conversational openings in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's conversational openings. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.76,emb_f_0033,"pragmatics,tag_conversational_openings",0.7,"conversational, openings, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0034,Conversational Closings,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding conversational closings in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's conversational closings. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.77,emb_f_0034,"pragmatics,tag_conversational_closings",0.75,"conversational, closings, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0035,Repair Strategies,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding repair strategies in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's repair strategies. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.79,emb_f_0035,"pragmatics,tag_repair_strategies",0.8,"repair, strategies, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0036,Meta Communicative Cues,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding meta communicative cues in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's meta communicative cues. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.8,emb_f_0036,"pragmatics,tag_meta_communicative_cues",0.86,"meta, communicative, cues, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0037,Non Verbal Simulation,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding non verbal simulation in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's non verbal simulation. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.81,emb_f_0037,"pragmatics,tag_non_verbal_simulation",0.91,"non, verbal, simulation, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0038,Register Switching,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding register switching in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's register switching. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.83,emb_f_0038,"pragmatics,tag_register_switching",0.96,"register, switching, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0039,Jargon Moderation,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding jargon moderation in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's jargon moderation. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.84,emb_f_0039,"pragmatics,tag_jargon_moderation",0.61,"jargon, moderation, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0040,Style Matching,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding style matching in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's style matching. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.86,emb_f_0040,"pragmatics,tag_style_matching",0.66,"style, matching, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0041,Audience Adaptation,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding audience adaptation in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's audience adaptation. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.87,emb_f_0041,"pragmatics,tag_audience_adaptation",0.71,"audience, adaptation, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0042,Cognitive Load Matching,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding cognitive load matching in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's cognitive load matching. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.88,emb_f_0042,"pragmatics,tag_cognitive_load_matching",0.76,"cognitive, load, matching, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0043,Rhetorical Questions,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding rhetorical questions in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's rhetorical questions. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.9,emb_f_0043,"pragmatics,tag_rhetorical_questions",0.82,"rhetorical, questions, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0044,Irony Detection,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding irony detection in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's irony detection. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.71,emb_f_0044,"pragmatics,tag_irony_detection",0.87,"irony, detection, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0045,Grammar Correction,Linguistic Quality,Language and Style,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding grammar correction in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's grammar correction. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.72,emb_f_0045,"linguistic quality,tag_grammar_correction",0.92,"grammar, correction, linguistic quality",sem_group_linguistic quality,domain_linguistic quality
F-0046,Spelling Accuracy,Linguistic Quality,Language and Style,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding spelling accuracy in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's spelling accuracy. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.74,emb_f_0046,"linguistic quality,tag_spelling_accuracy",0.97,"spelling, accuracy, linguistic quality",sem_group_linguistic quality,domain_linguistic quality
F-0047,Punctuation Precision,Linguistic Quality,Language and Style,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding punctuation precision in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's punctuation precision. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.75,emb_f_0047,"linguistic quality,tag_punctuation_precision",0.62,"punctuation, precision, linguistic quality",sem_group_linguistic quality,domain_linguistic quality
F-0048,Syntactic Complexity,Linguistic Quality,Language and Style,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding syntactic complexity in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's syntactic complexity. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.77,emb_f_0048,"linguistic quality,tag_syntactic_complexity",0.67,"syntactic, complexity, linguistic quality",sem_group_linguistic quality,domain_linguistic quality
F-0049,Vocabulary Diversity,Linguistic Quality,Language and Style,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding vocabulary diversity in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's vocabulary diversity. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.78,emb_f_0049,"linguistic quality,tag_vocabulary_diversity",0.72,"vocabulary, diversity, linguistic quality",sem_group_linguistic quality,domain_linguistic quality
F-0050,Semantic Precision,Linguistic Quality,Language and Style,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding semantic precision in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's semantic precision. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.79,emb_f_0050,"linguistic quality,tag_semantic_precision",0.78,"semantic, precision, linguistic quality",sem_group_linguistic quality,domain_linguistic quality
F-0051,Register Consistency,Linguistic Quality,Language and Style,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding register consistency in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's register consistency. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.81,emb_f_0051,"linguistic quality,tag_register_consistency",0.83,"register, consistency, linguistic quality",sem_group_linguistic quality,domain_linguistic quality
F-0052,Verb Tense Harmony,Linguistic Quality,Language and Style,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding verb tense harmony in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's verb tense harmony. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.82,emb_f_0052,"linguistic quality,tag_verb_tense_harmony",0.88,"verb, tense, harmony, linguistic quality",sem_group_linguistic quality,domain_linguistic quality
F-0053,Pronoun Agreement,Linguistic Quality,Language and Style,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding pronoun agreement in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's pronoun agreement. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.84,emb_f_0053,"linguistic quality,tag_pronoun_agreement",0.93,"pronoun, agreement, linguistic quality",sem_group_linguistic quality,domain_linguistic quality
F-0054,Sentence Structure Variety,Linguistic Quality,Language and Style,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding sentence structure variety in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's sentence structure variety. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.85,emb_f_0054,"linguistic quality,tag_sentence_structure_variety",0.98,"sentence, structure, variety, linguistic quality",sem_group_linguistic quality,domain_linguistic quality
F-0055,Run On Prevention,Linguistic Quality,Language and Style,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding run on prevention in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's run on prevention. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.86,emb_f_0055,"linguistic quality,tag_run_on_prevention",0.63,"run, on, prevention, linguistic quality",sem_group_linguistic quality,domain_linguistic quality
