facet_id,facet_name,facet_category,facet_group,facet_tier,facet_priority,facet_type,facet_description,evaluation_prompt,score_definition,confidence_threshold,embedding_id,retrieval_tags,severity_weight
F-0036,Meta Communicative Cues,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding meta communicative cues in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's meta communicative cues. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.8,emb_f_0036,"pragmatics,tag_meta_communicative_cues",0.86
F-0037,Non Verbal Simulation,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding non verbal simulation in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's non verbal simulation. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.81,emb_f_0037,"pragmatics,tag_non_verbal_simulation",0.91
F-0038,Register Switching,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding register switching in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's register switching. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.83,emb_f_0038,"pragmatics,tag_register_switching",0.96
F-0039,Jargon Moderation,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding jargon moderation in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's jargon moderation. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.84,emb_f_0039,"pragmatics,tag_jargon_moderation",0.61
F-0040,Style Matching,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding style matching in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's style matching. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.86,emb_f_0040,"pragmatics,tag_style_matching",0.66
F-0041,Audience Adaptation,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding audience adaptation in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's audience adaptation. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.87,emb_f_0041,"pragmatics,tag_audience_adaptation",0.71
F-0042,Cognitive Load Matching,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding cognitive load matching in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's cognitive load matching. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.88,emb_f_0042,"pragmatics,tag_cognitive_load_matching",0.76
F-0043,Rhetorical Questions,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding rhetorical questions in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's rhetorical questions. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.9,emb_f_0043,"pragmatics,tag_rhetorical_questions",0.82
F-0044,Irony Detection,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding irony detection in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's irony detection. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.71,emb_f_0044,"pragmatics,tag_irony_detection",0.87
F-0045,Grammar Correction,Linguistic Quality,Language and Style,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding grammar correction in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's grammar correction. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.72,emb_f_0045,"linguistic quality,tag_grammar_correction",0.92
F-0046,Spelling Accuracy,Linguistic Quality,Language and Style,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding spelling accuracy in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's spelling accuracy. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.74,emb_f_0046,"linguistic quality,tag_spelling_accuracy",0.97
F-0047,Punctuation Precision,Linguistic Quality,Language and Style,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding punctuation precision in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's punctuation precision. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.75,emb_f_0047,"linguistic quality,tag_punctuation_precision",0.62
F-0048,Syntactic Complexity,Linguistic Quality,Language and Style,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding syntactic complexity in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's syntactic complexity. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.77,emb_f_0048,"linguistic quality,tag_syntactic_complexity",0.67
F-0049,Vocabulary Diversity,Linguistic Quality,Language and Style,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding vocabulary diversity in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's vocabulary diversity. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.78,emb_f_0049,"linguistic quality,tag_vocabulary_diversity",0.72
F-0050,Semantic Precision,Linguistic Quality,Language and Style,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding semantic precision in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's semantic precision. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.79,emb_f_0050,"linguistic quality,tag_semantic_precision",0.78
F-0051,Register Consistency,Linguistic Quality,Language and Style,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding register consistency in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's register consistency. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.81,emb_f_0051,"linguistic quality,tag_register_consistency",0.83
F-0052,Verb Tense Harmony,Linguistic Quality,Language and Style,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding verb tense harmony in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's verb tense harmony. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.82,emb_f_0052,"linguistic quality,tag_verb_tense_harmony",0.88
F-0053,Pronoun Agreement,Linguistic Quality,Language and Style,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding pronoun agreement in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's pronoun agreement. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.84,emb_f_0053,"linguistic quality,tag_pronoun_agreement",0.93
F-0054,Sentence Structure Variety,Linguistic Quality,Language and Style,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding sentence structure variety in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's sentence structure variety. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.85,emb_f_0054,"linguistic quality,tag_sentence_structure_variety",0.98
F-0055,Run On Prevention,Linguistic Quality,Language and Style,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding run on prevention in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's run on prevention. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.86,emb_f_0055,"linguistic quality,tag_run_on_prevention",0.63
F-0056,Spelling Consistency,Linguistic Quality,Language and Style,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding spelling consistency in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's spelling consistency. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.88,emb_f_0056,"linguistic quality,tag_spelling_consistency",0.68
F-0057,Homophone Disambiguation,Linguistic Quality,Language and Style,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding homophone disambiguation in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's homophone disambiguation. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.89,emb_f_0057,"linguistic quality,tag_homophone_disambiguation",0.74
F-0058,Morphological Correctness,Linguistic Quality,Language and Style,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding morphological correctness in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's morphological correctness. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.7,emb_f_0058,"linguistic quality,tag_morphological_correctness",0.79
F-0059,Idiomatic Naturalness,Linguistic Quality,Language and Style,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding idiomatic naturalness in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's idiomatic naturalness. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.72,emb_f_0059,"linguistic quality,tag_idiomatic_naturalness",0.84
F-0060,Metaphoric Clarity,Linguistic Quality,Language and Style,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding metaphoric clarity in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's metaphoric clarity. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.73,emb_f_0060,"linguistic quality,tag_metaphoric_clarity",0.89
F-0061,Lexical Density,Linguistic Quality,Language and Style,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding lexical density in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's lexical density. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.75,emb_f_0061,"linguistic quality,tag_lexical_density",0.94
F-0062,Dialect Alignment,Linguistic Quality,Language and Style,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding dialect alignment in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's dialect alignment. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.76,emb_f_0062,"linguistic quality,tag_dialect_alignment",1.0
F-0063,Style Uniformity,Linguistic Quality,Language and Style,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding style uniformity in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's style uniformity. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.77,emb_f_0063,"linguistic quality,tag_style_uniformity",0.64
F-0064,Jargon Accuracy,Linguistic Quality,Language and Style,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding jargon accuracy in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's jargon accuracy. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.79,emb_f_0064,"linguistic quality,tag_jargon_accuracy",0.7
